指标名称,北京:常住人口,天津:常住人口,上海:常住人口,石家庄市:常住人口,太原市:常住人口,呼和浩特市:年末常住人口,沈阳市:年末总人口,大连市:年末总人口,长春市:年末户籍人口,哈尔滨市:年末总人口,南京市:常住人口,杭州市:年末总人口,宁波市:年末总人口,合肥市:常住人口,福州市:常住人口,厦门市:常住人口,南昌市:年末总人口,济南市:常住人口,青岛市:常住人口,郑州市:常住人口,武汉市:年末常住人口,长沙市:年末常住人口,广州市:常住人口,深圳市:常住人口,南宁市:常住人口,海口市:常住人口,重庆:常住人口,成都市:年末常住人口,贵阳市:常住人口,昆明市:常住人口,西安市:年末常住人口,兰州市:年末常住人口,西宁市:年末户籍人口,银川市:年末总人口,乌鲁木齐市:年末户籍人口,唐山市:常住人口,秦皇岛市:常住人口,包头市:年末常住人口,丹东市:年末总人口,锦州市:年末总人口,吉林市:年末户籍人口,牡丹江市:年末总人口,无锡市:常住人口,扬州市:常住人口,徐州市:常住人口,温州市:年末总人口,金华市:年末总人口,蚌埠市:户籍人口,安庆市:户籍人口,泉州市:常住人口,九江市:年末总人口,赣州市:年末总人口,烟台市:常住人口,济宁市:常住人口,洛阳市:常住人口,平顶山市:常住人口,襄阳市:年末常住人口,岳阳市:年末常住人口,宜昌市:年末常住人口,常德市:年末常住人口,惠州市:常住人口,韶关市:常住人口,湛江市:常住人口,桂林市:常住人口,北海市:常住人口,三亚市:户籍人口,泸州市:年末常住人口,南充市:年末常住人口,遵义市:常住人口,大理州:总人口
频率,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年
单位,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,人,万人,人,人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,万人,万人,万人,万人
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
